,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants
169,1995,Uruguay,233993.0,93428.0,-20000.0,-1.263,3208305,0.07293352720517532,-0.006233821285694471,213993.0
170,2000,Uruguay,235641.0,88874.0,-26000.0,-1.589,3292227,0.0715749551899064,-0.007897389821540252,209641.0
171,2005,Uruguay,298986.0,82317.0,-104000.0,-6.264,3317666,0.09011937910567248,-0.0313473387616475,194986.0
172,2010,Uruguay,338438.0,76303.0,-50000.0,-2.994,3352653,0.1009463251938092,-0.0149135624832036,288438.0
173,2015,Uruguay,353225.0,78799.0,-30000.0,-1.772,3402820,0.10380360994704392,-0.00881621713755062,323225.0
174,2020,Uruguay,367060.0,108267.0,-15000.0,-0.871,3429087,0.10704307006500564,-0.004374342208290428,352060.0
175,1990,Venezuela,185492.0,1025009.0,920.0,0.01,19750580,0.009391724192403464,4.658091053528555e-05,186412.0
176,1995,Venezuela,241864.0,1019996.0,-2270.0,-0.022,22107288,0.010940464520116624,-0.00010268107060440882,239594.0
177,2000,Venezuela,317753.0,1013738.0,-4540.0,-0.039,24427732,0.013007879732756198,-0.00018585433964970634,313213.0
178,2005,Venezuela,437087.0,1076474.0,-22740.0,-0.18,26668790,0.016389457489447402,-0.0008526821051873744,414347.0
179,2010,Venezuela,560528.0,1347347.0,-200220.0,-1.46,28715026,0.01952037236532539,-0.00697265605819058,360308.0
180,2015,Venezuela,709140.0,1404448.0,-431040.0,-2.946,30529722,0.023227856447562804,-0.014118700458523665,278100.0
181,2020,Venezuela,5415337.0,1324193.0,-3266243.0,-22.327,28490458,0.1900754631603325,-0.11464340095901582,2149094.0
