,Country,Gender,Age,Year,Population
2,Argentina,Total,15+,2021,1141924.0
6,Argentina,Total,15-64,2021,852786.0
10,Argentina,Total,15-24,2021,99397.0
14,Argentina,Total,25+,2021,1042527.0
18,Argentina,Male,15+,2021,522284.99999999994
22,Argentina,Male,15-64,2021,400517.0
26,Argentina,Male,15-24,2021,52607.0
30,Argentina,Male,25+,2021,469678.0
34,Argentina,Female,15+,2021,619639.0
38,Argentina,Female,15-64,2021,452269.0
42,Argentina,Female,15-24,2021,46790.0
46,Argentina,Female,25+,2021,572849.0
50,Argentina,Total,Total,2021,1141924.0
54,Argentina,Total,15-24,2021,99397.0
58,Argentina,Total,25-54,2021,602653.0
62,Argentina,Total,55-64,2021,150736.0
66,Argentina,Total,65+,2021,289139.0
70,Argentina,Male,Total,2021,522284.99999999994
74,Argentina,Male,15-24,2021,52607.0
78,Argentina,Male,25-54,2021,276383.0
82,Argentina,Male,55-64,2021,71528.0
86,Argentina,Male,65+,2021,121768.0
90,Argentina,Female,Total,2021,619639.0
94,Argentina,Female,15-24,2021,46790.0
98,Argentina,Female,25-54,2021,326270.0
102,Argentina,Female,55-64,2021,79209.0
106,Argentina,Female,65+,2021,167371.0
110,Argentina,Total,15+,2020,1330014.0
114,Argentina,Total,15-64,2020,1042195.9999999999
118,Argentina,Total,15-24,2020,138287.0
122,Argentina,Total,25+,2020,1191727.0
126,Argentina,Male,15+,2020,616127.0
130,Argentina,Male,15-64,2020,481946.0
134,Argentina,Male,15-24,2020,85473.0
138,Argentina,Male,25+,2020,530654.0
142,Argentina,Female,15+,2020,713888.0
146,Argentina,Female,15-64,2020,560251.0
150,Argentina,Female,15-24,2020,52814.0
154,Argentina,Female,25+,2020,661074.0
158,Argentina,Total,Total,2020,1330014.0
162,Argentina,Total,15-24,2020,138287.0
166,Argentina,Total,25-54,2020,716211.0
170,Argentina,Total,55-64,2020,187698.0
174,Argentina,Total,65+,2020,287818.0
178,Argentina,Male,Total,2020,616127.0
182,Argentina,Male,15-24,2020,85473.0
186,Argentina,Male,25-54,2020,319543.0
190,Argentina,Male,55-64,2020,76930.0
194,Argentina,Male,65+,2020,134181.0
198,Argentina,Female,Total,2020,713888.0
202,Argentina,Female,15-24,2020,52814.0
206,Argentina,Female,25-54,2020,396668.0
210,Argentina,Female,55-64,2020,110768.0
214,Argentina,Female,65+,2020,153637.0
218,Argentina,Total,15+,2019,1428052.0
222,Argentina,Total,15-64,2019,1071963.0
226,Argentina,Total,15-24,2019,147290.0
230,Argentina,Total,25+,2019,1280762.0
234,Argentina,Male,15+,2019,645519.0
238,Argentina,Male,15-64,2019,493783.0
242,Argentina,Male,15-24,2019,77386.0
246,Argentina,Male,25+,2019,568133.0
250,Argentina,Female,15+,2019,782533.0
254,Argentina,Female,15-64,2019,578180.0
258,Argentina,Female,15-24,2019,69904.0
262,Argentina,Female,25+,2019,712630.0
266,Argentina,Total,Total,2019,1428052.0
270,Argentina,Total,15-24,2019,147290.0
274,Argentina,Total,25-54,2019,737773.0
278,Argentina,Total,55-64,2019,186900.0
282,Argentina,Total,65+,2019,356089.0
286,Argentina,Male,Total,2019,645519.0
290,Argentina,Male,15-24,2019,77386.0
294,Argentina,Male,25-54,2019,340935.0
298,Argentina,Male,55-64,2019,75462.0
302,Argentina,Male,65+,2019,151736.0
306,Argentina,Female,Total,2019,782533.0
310,Argentina,Female,15-24,2019,69904.0
314,Argentina,Female,25-54,2019,396838.0
318,Argentina,Female,55-64,2019,111438.0
322,Argentina,Female,65+,2019,204354.0
326,Argentina,Total,15+,2018,1434965.0
330,Argentina,Total,15-64,2018,1047439.0000000001
334,Argentina,Total,15-24,2018,146975.0
338,Argentina,Total,25+,2018,1287990.0
342,Argentina,Male,15+,2018,653327.0
346,Argentina,Male,15-64,2018,487253.0
350,Argentina,Male,15-24,2018,80844.0
354,Argentina,Male,25+,2018,572483.0
358,Argentina,Female,15+,2018,781638.0
362,Argentina,Female,15-64,2018,560186.0
366,Argentina,Female,15-24,2018,66131.0
370,Argentina,Female,25+,2018,715507.0
374,Argentina,Total,Total,2018,1434965.0
378,Argentina,Total,15-24,2018,146975.0
382,Argentina,Total,25-54,2018,705515.0
386,Argentina,Total,55-64,2018,194949.0
390,Argentina,Total,65+,2018,387526.0
394,Argentina,Male,Total,2018,653327.0
398,Argentina,Male,15-24,2018,80844.0
402,Argentina,Male,25-54,2018,322640.0
406,Argentina,Male,55-64,2018,83769.0
410,Argentina,Male,65+,2018,166074.0
414,Argentina,Female,Total,2018,781638.0
418,Argentina,Female,15-24,2018,66131.0
422,Argentina,Female,25-54,2018,382875.0
426,Argentina,Female,55-64,2018,111180.0
430,Argentina,Female,65+,2018,221452.0
434,Argentina,Total,15+,2017,1281541.0
438,Argentina,Total,15-64,2017,900396.0
442,Argentina,Total,15-24,2017,102331.0
446,Argentina,Total,25+,2017,1179210.0
450,Argentina,Male,15+,2017,567664.0
454,Argentina,Male,15-64,2017,408957.0
458,Argentina,Male,15-24,2017,53232.0
462,Argentina,Male,25+,2017,514432.0
466,Argentina,Female,15+,2017,713878.0
470,Argentina,Female,15-64,2017,491439.0
474,Argentina,Female,15-24,2017,49099.0
478,Argentina,Female,25+,2017,664779.0
482,Argentina,Total,Total,2017,1281541.0
486,Argentina,Total,15-24,2017,102331.0
490,Argentina,Total,25-54,2017,623458.0
494,Argentina,Total,55-64,2017,174607.0
498,Argentina,Total,65+,2017,381145.0
502,Argentina,Male,Total,2017,567664.0
506,Argentina,Male,15-24,2017,53232.0
510,Argentina,Male,25-54,2017,280788.0
514,Argentina,Male,55-64,2017,74938.0
518,Argentina,Male,65+,2017,158706.0
522,Argentina,Female,Total,2017,713878.0
526,Argentina,Female,15-24,2017,49099.0
530,Argentina,Female,25-54,2017,342671.0
534,Argentina,Female,55-64,2017,99670.0
538,Argentina,Female,65+,2017,222439.0
542,Argentina,Total,15+,2014,1165943.0
546,Argentina,Total,15-64,2014,882125.0
550,Argentina,Total,15-24,2014,133813.0
554,Argentina,Total,25+,2014,1032130.0000000001
558,Argentina,Male,15+,2014,535614.0
562,Argentina,Male,15-64,2014,413904.0
566,Argentina,Male,15-24,2014,69019.0
570,Argentina,Male,25+,2014,466595.0
574,Argentina,Female,15+,2014,630329.0
578,Argentina,Female,15-64,2014,468221.0
582,Argentina,Female,15-24,2014,64794.0
586,Argentina,Female,25+,2014,565535.0
590,Argentina,Total,Total,2014,1165943.0
594,Argentina,Total,15-24,2014,133813.0
598,Argentina,Total,25-54,2014,601307.0
602,Argentina,Total,55-64,2014,147005.0
606,Argentina,Total,65+,2014,283818.0
610,Argentina,Male,Total,2014,535614.0
614,Argentina,Male,15-24,2014,69019.0
618,Argentina,Male,25-54,2014,280019.0
622,Argentina,Male,55-64,2014,64866.0
626,Argentina,Male,65+,2014,121710.0
630,Argentina,Female,Total,2014,630329.0
634,Argentina,Female,15-24,2014,64794.0
638,Argentina,Female,25-54,2014,321288.0
642,Argentina,Female,55-64,2014,82139.0
646,Argentina,Female,65+,2014,162108.0
650,Argentina,Total,15+,2013,1213087.0
654,Argentina,Total,15-64,2013,896095.0
658,Argentina,Total,15-24,2013,122880.0
662,Argentina,Total,25+,2013,1090207.0
666,Argentina,Male,15+,2013,541705.0
670,Argentina,Male,15-64,2013,403073.0
674,Argentina,Male,15-24,2013,62239.0
678,Argentina,Male,25+,2013,479466.0
682,Argentina,Female,15+,2013,671383.0
686,Argentina,Female,15-64,2013,493023.0
690,Argentina,Female,15-24,2013,60641.0
694,Argentina,Female,25+,2013,610742.0
698,Argentina,Total,Total,2013,1213087.0
702,Argentina,Total,15-24,2013,122880.0
706,Argentina,Total,25-54,2013,577863.0
710,Argentina,Total,55-64,2013,195352.0
714,Argentina,Total,65+,2013,316992.0
718,Argentina,Male,Total,2013,541705.0
722,Argentina,Male,15-24,2013,62239.0
726,Argentina,Male,25-54,2013,266120.0
730,Argentina,Male,55-64,2013,74714.0
734,Argentina,Male,65+,2013,138632.0
738,Argentina,Female,Total,2013,671383.0
742,Argentina,Female,15-24,2013,60641.0
746,Argentina,Female,25-54,2013,311743.0
750,Argentina,Female,55-64,2013,120639.0
754,Argentina,Female,65+,2013,178360.0
758,Argentina,Total,15+,2012,1179429.0
762,Argentina,Total,15-64,2012,887365.0
766,Argentina,Total,15-24,2012,131203.0
770,Argentina,Total,25+,2012,1048226.0000000001
774,Argentina,Male,15+,2012,517655.0
778,Argentina,Male,15-64,2012,399869.0
782,Argentina,Male,15-24,2012,64262.0
786,Argentina,Male,25+,2012,453393.0
790,Argentina,Female,15+,2012,661774.0
794,Argentina,Female,15-64,2012,487496.0
798,Argentina,Female,15-24,2012,66941.0
802,Argentina,Female,25+,2012,594833.0
806,Argentina,Total,Total,2012,1179429.0
810,Argentina,Total,15-24,2012,131203.0
814,Argentina,Total,25-54,2012,568197.0
818,Argentina,Total,55-64,2012,187966.0
822,Argentina,Total,65+,2012,292064.0
826,Argentina,Male,Total,2012,517655.0
830,Argentina,Male,15-24,2012,64262.0
834,Argentina,Male,25-54,2012,255518.0
838,Argentina,Male,55-64,2012,80090.0
842,Argentina,Male,65+,2012,117786.0
846,Argentina,Female,Total,2012,661774.0
850,Argentina,Female,15-24,2012,66941.0
854,Argentina,Female,25-54,2012,312679.0
858,Argentina,Female,55-64,2012,107877.0
862,Argentina,Female,65+,2012,174278.0
866,Argentina,Total,15+,2011,1127243.0
870,Argentina,Total,15-64,2011,826068.0
874,Argentina,Total,15-24,2011,114669.0
878,Argentina,Total,25+,2011,1012575.0
882,Argentina,Male,15+,2011,475170.0
886,Argentina,Male,15-64,2011,361719.0
890,Argentina,Male,15-24,2011,52366.0
894,Argentina,Male,25+,2011,422804.0
898,Argentina,Female,15+,2011,652073.0
902,Argentina,Female,15-64,2011,464349.0
906,Argentina,Female,15-24,2011,62303.0
910,Argentina,Female,25+,2011,589771.0
914,Argentina,Total,Total,2011,1127243.0
918,Argentina,Total,15-24,2011,114669.0
922,Argentina,Total,25-54,2011,526399.0
926,Argentina,Total,55-64,2011,185001.0
930,Argentina,Total,65+,2011,301175.0
934,Argentina,Male,Total,2011,475170.0
938,Argentina,Male,15-24,2011,52366.0
942,Argentina,Male,25-54,2011,230502.0
946,Argentina,Male,55-64,2011,78852.0
950,Argentina,Male,65+,2011,113451.0
954,Argentina,Female,Total,2011,652073.0
958,Argentina,Female,15-24,2011,62303.0
962,Argentina,Female,25-54,2011,295898.0
966,Argentina,Female,55-64,2011,106149.0
970,Argentina,Female,65+,2011,187724.0
974,Argentina,Total,15+,2010,1152505.0
978,Argentina,Total,15-64,2010,849278.0
982,Argentina,Total,15-24,2010,134444.0
986,Argentina,Total,25+,2010,1018062.0
990,Argentina,Male,15+,2010,491827.0
994,Argentina,Male,15-64,2010,366448.0
998,Argentina,Male,15-24,2010,56874.0
1002,Argentina,Male,25+,2010,434953.0
1006,Argentina,Female,15+,2010,660678.0
1010,Argentina,Female,15-64,2010,482830.0
1014,Argentina,Female,15-24,2010,77569.0
1018,Argentina,Female,25+,2010,583109.0
1022,Argentina,Total,Total,2010,1152505.0
1026,Argentina,Total,15-24,2010,134444.0
1030,Argentina,Total,25-54,2010,524379.0
1034,Argentina,Total,55-64,2010,190455.0
1038,Argentina,Total,65+,2010,303228.0
1042,Argentina,Male,Total,2010,491827.0
1046,Argentina,Male,15-24,2010,56874.0
1050,Argentina,Male,25-54,2010,226158.0
1054,Argentina,Male,55-64,2010,83415.0
1058,Argentina,Male,65+,2010,125380.0
1062,Argentina,Female,Total,2010,660678.0
1066,Argentina,Female,15-24,2010,77569.0
1070,Argentina,Female,25-54,2010,298221.0
1074,Argentina,Female,55-64,2010,107040.0
1078,Argentina,Female,65+,2010,177848.0
1082,Argentina,Total,15+,2009,1169190.0
1086,Argentina,Total,15-64,2009,862933.0
1090,Argentina,Total,15-24,2009,127533.0
1094,Argentina,Total,25+,2009,1041656.9999999999
1098,Argentina,Male,15+,2009,520043.0
1102,Argentina,Male,15-64,2009,379517.0
1106,Argentina,Male,15-24,2009,59961.0
1110,Argentina,Male,25+,2009,460082.0
1114,Argentina,Female,15+,2009,649147.0
1118,Argentina,Female,15-64,2009,483416.0
1122,Argentina,Female,15-24,2009,67572.0
1126,Argentina,Female,25+,2009,581575.0
1130,Argentina,Total,Total,2009,1169190.0
1134,Argentina,Total,15-24,2009,127533.0
1138,Argentina,Total,25-54,2009,525943.0
1142,Argentina,Total,55-64,2009,209457.0
1146,Argentina,Total,65+,2009,306257.0
1150,Argentina,Male,Total,2009,520043.0
1154,Argentina,Male,15-24,2009,59961.0
1158,Argentina,Male,25-54,2009,227133.0
1162,Argentina,Male,55-64,2009,92424.0
1166,Argentina,Male,65+,2009,140526.0
1170,Argentina,Female,Total,2009,649147.0
1174,Argentina,Female,15-24,2009,67572.0
1178,Argentina,Female,25-54,2009,298811.0
1182,Argentina,Female,55-64,2009,117033.0
1186,Argentina,Female,65+,2009,165731.0
1190,Argentina,Total,15+,2008,1191995.0
1194,Argentina,Total,15-64,2008,885241.0
1198,Argentina,Total,15-24,2008,132903.0
1202,Argentina,Total,25+,2008,1059093.0
1206,Argentina,Male,15+,2008,522486.99999999994
1210,Argentina,Male,15-64,2008,381179.0
1214,Argentina,Male,15-24,2008,60175.0
1218,Argentina,Male,25+,2008,462311.0
1222,Argentina,Female,15+,2008,669509.0
1226,Argentina,Female,15-64,2008,504062.0
1230,Argentina,Female,15-24,2008,72727.0
1234,Argentina,Female,25+,2008,596782.0
1238,Argentina,Total,Total,2008,1191995.0
1242,Argentina,Total,15-24,2008,132903.0
1246,Argentina,Total,25-54,2008,544207.0
1250,Argentina,Total,55-64,2008,208131.0
1254,Argentina,Total,65+,2008,306755.0
1258,Argentina,Male,Total,2008,522486.99999999994
1262,Argentina,Male,15-24,2008,60175.0
1266,Argentina,Male,25-54,2008,231689.0
1270,Argentina,Male,55-64,2008,89314.0
1274,Argentina,Male,65+,2008,141308.0
1278,Argentina,Female,Total,2008,669509.0
1282,Argentina,Female,15-24,2008,72727.0
1286,Argentina,Female,25-54,2008,312518.0
1290,Argentina,Female,55-64,2008,118817.0
1294,Argentina,Female,65+,2008,165447.0
1298,Argentina,Total,15+,2006,1129865.0
1302,Argentina,Total,15-64,2006,839351.0
1306,Argentina,Total,15-24,2006,112188.0
1310,Argentina,Total,25+,2006,1017677.0
1314,Argentina,Male,15+,2006,501837.0
1318,Argentina,Male,15-64,2006,378489.0
1322,Argentina,Male,15-24,2006,51042.0
1326,Argentina,Male,25+,2006,450795.0
1330,Argentina,Female,15+,2006,628028.0
1334,Argentina,Female,15-64,2006,460862.0
1338,Argentina,Female,15-24,2006,61147.0
1342,Argentina,Female,25+,2006,566882.0
1346,Argentina,Total,Total,2006,1129865.0
1350,Argentina,Total,15-24,2006,112188.0
1354,Argentina,Total,25-54,2006,520808.99999999994
1358,Argentina,Total,55-64,2006,206354.0
1362,Argentina,Total,65+,2006,290514.0
1366,Argentina,Male,Total,2006,501837.0
1370,Argentina,Male,15-24,2006,51042.0
1374,Argentina,Male,25-54,2006,233702.0
1378,Argentina,Male,55-64,2006,93746.0
1382,Argentina,Male,65+,2006,123347.0
1386,Argentina,Female,Total,2006,628028.0
1390,Argentina,Female,15-24,2006,61147.0
1394,Argentina,Female,25-54,2006,287107.0
1398,Argentina,Female,55-64,2006,112608.0
1402,Argentina,Female,65+,2006,167166.0
1406,Argentina,Total,15+,2005,1096305.0
1410,Argentina,Total,15-64,2005,788041.0
1414,Argentina,Total,15-24,2005,93951.0
1418,Argentina,Total,25+,2005,1002354.0
1422,Argentina,Male,15+,2005,489300.0
1426,Argentina,Male,15-64,2005,360857.0
1430,Argentina,Male,15-24,2005,43131.0
1434,Argentina,Male,25+,2005,446170.0
1438,Argentina,Female,15+,2005,607005.0
1442,Argentina,Female,15-64,2005,427184.0
1446,Argentina,Female,15-24,2005,50821.0
1450,Argentina,Female,25+,2005,556184.0
1454,Argentina,Total,Total,2005,1096305.0
1458,Argentina,Total,15-24,2005,93951.0
1462,Argentina,Total,25-54,2005,494492.0
1466,Argentina,Total,55-64,2005,199597.0
1470,Argentina,Total,65+,2005,308265.0
1474,Argentina,Male,Total,2005,489300.0
1478,Argentina,Male,15-24,2005,43131.0
1482,Argentina,Male,25-54,2005,225409.0
1486,Argentina,Male,55-64,2005,92318.0
1490,Argentina,Male,65+,2005,128443.00000000001
1494,Argentina,Female,Total,2005,607005.0
1498,Argentina,Female,15-24,2005,50821.0
1502,Argentina,Female,25-54,2005,269084.0
1506,Argentina,Female,55-64,2005,107280.0
1510,Argentina,Female,65+,2005,179821.0
1514,Argentina,Total,15+,2004,1061579.0
1518,Argentina,Total,15-64,2004,757928.0
1522,Argentina,Total,15-24,2004,88586.0
1526,Argentina,Total,25+,2004,972993.0
1530,Argentina,Male,15+,2004,485963.0
1534,Argentina,Male,15-64,2004,349473.0
1538,Argentina,Male,15-24,2004,41713.0
1542,Argentina,Male,25+,2004,444250.0
1546,Argentina,Female,15+,2004,575616.0
1550,Argentina,Female,15-64,2004,408456.0
1554,Argentina,Female,15-24,2004,46873.0
1558,Argentina,Female,25+,2004,528743.0
1562,Argentina,Total,Total,2004,1061579.0
1566,Argentina,Total,15-24,2004,88586.0
1570,Argentina,Total,25-54,2004,474098.0
1574,Argentina,Total,55-64,2004,195244.0
1578,Argentina,Total,65+,2004,303651.0
1582,Argentina,Male,Total,2004,485963.0
1586,Argentina,Male,15-24,2004,41713.0
1590,Argentina,Male,25-54,2004,210184.0
1594,Argentina,Male,55-64,2004,97576.0
1598,Argentina,Male,65+,2004,136490.0
1602,Argentina,Female,Total,2004,575616.0
1606,Argentina,Female,15-24,2004,46873.0
1610,Argentina,Female,25-54,2004,263914.0
1614,Argentina,Female,55-64,2004,97668.0
1618,Argentina,Female,65+,2004,167161.0
2138,Bolivia,Total,15+,1999,45930.0
2141,Bolivia,Total,15-64,1999,43313.0
2144,Bolivia,Total,15-24,1999,11596.0
2147,Bolivia,Total,25+,1999,34334.0
2150,Bolivia,Male,15+,1999,18945.0
2153,Bolivia,Male,15-64,1999,18307.0
2156,Bolivia,Male,15-24,1999,3318.0
2159,Bolivia,Male,25+,1999,15627.0
2162,Bolivia,Female,15+,1999,26985.0
2165,Bolivia,Female,15-64,1999,25006.0
2168,Bolivia,Female,15-24,1999,8278.0
2171,Bolivia,Female,25+,1999,18707.0
2174,Bolivia,Total,Total,1999,45930.0
2177,Bolivia,Total,15-24,1999,11596.0
2180,Bolivia,Total,25-54,1999,28661.0
2186,Bolivia,Total,65+,1999,2617.0
2189,Bolivia,Male,Total,1999,18945.0
2192,Bolivia,Male,15-24,1999,3318.0
2195,Bolivia,Male,25-54,1999,14648.0
2204,Bolivia,Female,Total,1999,26985.0
2207,Bolivia,Female,15-24,1999,8278.0
2210,Bolivia,Female,25-54,1999,14013.0
2219,Bolivia,Total,15+,2002,31846.0
2222,Bolivia,Total,15-64,2002,29587.0
2225,Bolivia,Total,15-24,2002,9174.0
2228,Bolivia,Total,25+,2002,22672.0
2231,Bolivia,Male,15+,2002,16423.0
2234,Bolivia,Male,15-64,2002,15298.0
2237,Bolivia,Male,15-24,2002,4923.0
2240,Bolivia,Male,25+,2002,11500.0
2243,Bolivia,Female,15+,2002,15423.0
2246,Bolivia,Female,15-64,2002,14289.0
2249,Bolivia,Female,15-24,2002,4251.0
2252,Bolivia,Female,25+,2002,11172.0
2255,Bolivia,Total,Total,2002,31846.0
2258,Bolivia,Total,15-24,2002,9174.0
2261,Bolivia,Total,25-54,2002,18965.0
2264,Bolivia,Total,55-64,2002,1448.0
2267,Bolivia,Total,65+,2002,2259.0
2270,Bolivia,Male,Total,2002,16423.0
2273,Bolivia,Male,15-24,2002,4923.0
2276,Bolivia,Male,25-54,2002,9693.0
2279,Bolivia,Male,55-64,2002,682.0
2285,Bolivia,Female,Total,2002,15423.0
2288,Bolivia,Female,15-24,2002,4251.0
2291,Bolivia,Female,25-54,2002,9272.0
2300,Bolivia,Total,15+,2001,47767.0
2303,Bolivia,Total,15-64,2001,45084.0
2306,Bolivia,Total,15-24,2001,13923.0
2309,Bolivia,Total,25+,2001,33844.0
2312,Bolivia,Male,15+,2001,22562.0
2315,Bolivia,Male,15-64,2001,21460.0
2318,Bolivia,Male,15-24,2001,4386.0
2321,Bolivia,Male,25+,2001,18176.0
2324,Bolivia,Female,15+,2001,25205.0
2327,Bolivia,Female,15-64,2001,23624.0
2330,Bolivia,Female,15-24,2001,9537.0
2333,Bolivia,Female,25+,2001,15668.0
2336,Bolivia,Total,Total,2001,47767.0
2339,Bolivia,Total,15-24,2001,13923.0
2342,Bolivia,Total,25-54,2001,27534.0
2345,Bolivia,Total,55-64,2001,3627.0
2348,Bolivia,Total,65+,2001,2683.0
2351,Bolivia,Male,Total,2001,22562.0
2354,Bolivia,Male,15-24,2001,4386.0
2357,Bolivia,Male,25-54,2001,15007.0
2360,Bolivia,Male,55-64,2001,2067.0
2363,Bolivia,Male,65+,2001,1102.0
2366,Bolivia,Female,Total,2001,25205.0
2369,Bolivia,Female,15-24,2001,9537.0
2372,Bolivia,Female,25-54,2001,12527.0
2375,Bolivia,Female,55-64,2001,1560.0
2381,Bolivia,Total,15+,2000,44801.0
2384,Bolivia,Total,15-64,2000,39939.0
2387,Bolivia,Total,15-24,2000,10319.0
2390,Bolivia,Total,25+,2000,34482.0
2393,Bolivia,Male,15+,2000,20430.0
2396,Bolivia,Male,15-64,2000,18530.0
2399,Bolivia,Male,15-24,2000,5620.0
2402,Bolivia,Male,25+,2000,14810.0
2405,Bolivia,Female,15+,2000,24371.0
2408,Bolivia,Female,15-64,2000,21409.0
2411,Bolivia,Female,15-24,2000,4699.0
2414,Bolivia,Female,25+,2000,19672.0
2417,Bolivia,Total,Total,2000,44801.0
2420,Bolivia,Total,15-24,2000,10319.0
2423,Bolivia,Total,25-54,2000,26585.0
2426,Bolivia,Total,55-64,2000,3035.0
2429,Bolivia,Total,65+,2000,4862.0
2432,Bolivia,Male,Total,2000,20430.0
2435,Bolivia,Male,15-24,2000,5620.0
2438,Bolivia,Male,25-54,2000,11271.0
2441,Bolivia,Male,55-64,2000,1639.0
2444,Bolivia,Male,65+,2000,1900.0
2447,Bolivia,Female,Total,2000,24371.0
2450,Bolivia,Female,15-24,2000,4699.0
2453,Bolivia,Female,25-54,2000,15314.0
2459,Bolivia,Female,65+,2000,2962.0
2462,Brazil,Total,15+,2015,685788.0
2465,Brazil,Total,15-64,2015,446359.0
2468,Brazil,Total,15-24,2015,76327.0
2471,Brazil,Total,25+,2015,609461.0
2474,Brazil,Male,15+,2015,379366.0
2477,Brazil,Male,15-64,2015,260975.00000000003
2480,Brazil,Male,15-24,2015,40770.0
2483,Brazil,Male,25+,2015,338596.0
2486,Brazil,Female,15+,2015,306422.0
2489,Brazil,Female,15-64,2015,185384.0
2492,Brazil,Female,15-24,2015,35557.0
2495,Brazil,Female,25+,2015,270865.0
2498,Brazil,Total,Total,2015,685788.0
2501,Brazil,Total,15-24,2015,76327.0
2504,Brazil,Total,25-54,2015,269417.0
2507,Brazil,Total,55-64,2015,100615.0
2510,Brazil,Total,65+,2015,239429.0
2513,Brazil,Male,Total,2015,379366.0
2516,Brazil,Male,15-24,2015,40770.0
2519,Brazil,Male,25-54,2015,165354.0
2522,Brazil,Male,55-64,2015,54851.0
2525,Brazil,Male,65+,2015,118391.0
2528,Brazil,Female,Total,2015,306422.0
2531,Brazil,Female,15-24,2015,35557.0
2534,Brazil,Female,25-54,2015,104063.0
2537,Brazil,Female,55-64,2015,45764.0
2540,Brazil,Female,65+,2015,121038.0
2543,Brazil,Total,15+,2014,724159.0
2546,Brazil,Total,15-64,2014,471688.0
2549,Brazil,Total,15-24,2014,68350.0
2552,Brazil,Total,25+,2014,655809.0
2555,Brazil,Male,15+,2014,400071.0
2558,Brazil,Male,15-64,2014,270243.0
2561,Brazil,Male,15-24,2014,41033.0
2564,Brazil,Male,25+,2014,359038.0
2567,Brazil,Female,15+,2014,324088.0
2570,Brazil,Female,15-64,2014,201445.0
2573,Brazil,Female,15-24,2014,27317.0
2576,Brazil,Female,25+,2014,296771.0
2579,Brazil,Total,Total,2014,724159.0
2582,Brazil,Total,15-24,2014,68350.0
2585,Brazil,Total,25-54,2014,293269.0
2588,Brazil,Total,55-64,2014,110069.0
2591,Brazil,Total,65+,2014,252471.0
2594,Brazil,Male,Total,2014,400071.0
2597,Brazil,Male,15-24,2014,41033.0
2600,Brazil,Male,25-54,2014,169789.0
2603,Brazil,Male,55-64,2014,59421.0
2606,Brazil,Male,65+,2014,129828.0
2609,Brazil,Female,Total,2014,324088.0
2612,Brazil,Female,15-24,2014,27317.0
2615,Brazil,Female,25-54,2014,123480.0
2618,Brazil,Female,55-64,2014,50648.0
2621,Brazil,Female,65+,2014,122643.0
2624,Brazil,Total,15+,2013,673274.0
2627,Brazil,Total,15-64,2013,434378.0
2630,Brazil,Total,15-24,2013,59192.0
2633,Brazil,Total,25+,2013,614082.0
2636,Brazil,Male,15+,2013,368656.0
2639,Brazil,Male,15-64,2013,247767.0
2642,Brazil,Male,15-24,2013,28216.0
2645,Brazil,Male,25+,2013,340440.0
2648,Brazil,Female,15+,2013,304618.0
2651,Brazil,Female,15-64,2013,186611.0
2654,Brazil,Female,15-24,2013,30976.0
2657,Brazil,Female,25+,2013,273642.0
2660,Brazil,Total,Total,2013,673274.0
2663,Brazil,Total,15-24,2013,59192.0
2666,Brazil,Total,25-54,2013,252903.0
2669,Brazil,Total,55-64,2013,122283.0
2672,Brazil,Total,65+,2013,238896.0
2675,Brazil,Male,Total,2013,368656.0
2678,Brazil,Male,15-24,2013,28216.0
2681,Brazil,Male,25-54,2013,144984.0
2684,Brazil,Male,55-64,2013,74567.0
2687,Brazil,Male,65+,2013,120889.0
2690,Brazil,Female,Total,2013,304618.0
2693,Brazil,Female,15-24,2013,30976.0
2696,Brazil,Female,25-54,2013,107919.0
2699,Brazil,Female,55-64,2013,47716.0
2702,Brazil,Female,65+,2013,118007.0
2705,Brazil,Total,15+,2012,634886.0
2708,Brazil,Total,15-64,2012,395875.0
2711,Brazil,Total,15-24,2012,62007.0
2714,Brazil,Total,25+,2012,572879.0
2717,Brazil,Male,15+,2012,335051.0
2720,Brazil,Male,15-64,2012,214864.0
2723,Brazil,Male,15-24,2012,31446.0
2726,Brazil,Male,25+,2012,303605.0
2729,Brazil,Female,15+,2012,299835.0
2732,Brazil,Female,15-64,2012,181011.0
2735,Brazil,Female,15-24,2012,30561.0
2738,Brazil,Female,25+,2012,269274.0
2741,Brazil,Total,Total,2012,634886.0
2744,Brazil,Total,15-24,2012,62007.0
2747,Brazil,Total,25-54,2012,234217.0
2750,Brazil,Total,55-64,2012,99651.0
2753,Brazil,Total,65+,2012,239011.0
2756,Brazil,Male,Total,2012,335051.0
2759,Brazil,Male,15-24,2012,31446.0
2762,Brazil,Male,25-54,2012,128731.0
2765,Brazil,Male,55-64,2012,54687.0
2768,Brazil,Male,65+,2012,120187.0
2771,Brazil,Female,Total,2012,299835.0
2774,Brazil,Female,15-24,2012,30561.0
2777,Brazil,Female,25-54,2012,105486.0
2780,Brazil,Female,55-64,2012,44964.0
2783,Brazil,Female,65+,2012,118824.0
2786,Brazil,Total,15+,2011,578366.0
2789,Brazil,Total,15-64,2011,342198.0
2792,Brazil,Total,15-24,2011,40975.0
2795,Brazil,Total,25+,2011,537391.0
2798,Brazil,Male,15+,2011,316132.0
2801,Brazil,Male,15-64,2011,194296.0
2804,Brazil,Male,15-24,2011,21704.0
2807,Brazil,Male,25+,2011,294428.0
2810,Brazil,Female,15+,2011,262234.0
2813,Brazil,Female,15-64,2011,147902.0
2816,Brazil,Female,15-24,2011,19271.0
2819,Brazil,Female,25+,2011,242963.0
