,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host
21,1990,Brazil,491359.0,798517.0,0.0,0.0,150706450,0.0032603714041436,0.0,491359.0,2947.73 ,-4.35000000000022,75779990,13666397,10685793,7127201,5091302,3367682,74926450,13589925,10372272,6860448,4683118,3038130,27256320,21058064,13987649,9774424,6405811,1400,10
22,1995,Brazil,730491.0,741557.0,0.0,0.0,163515330,0.0044674159909043,0.0,730491.0,66.01 ,4.22379363350413,82360140,14406284,12316058,8678401,5738794,3990080,81155180,14358193,11977702,8233412,5415461,3447105,28764476,24293760,16911812,11154255,7437183,881,10
23,2000,Brazil,940458.0,684596.0,0.0,0.0,175873710,0.0053473483899327,0.0,940458.0,7.04 ,4.38794944745618,88749384,15605461,13403869,10388006,6765410,4559958,87124340,15602242,13061342,9854506,6303619,3958122,31207702,26465212,20242510,13069024,8518080,815,4
24,2005,Brazil,1194575.0,638582.0,0.0,0.0,186797340,0.006395032177653,0.0,1194575.0,6.87 ,3.20213206130431,94515640,17009370,14176875,12023907,8297595,5203751,92281704,17094168,13840259,11409183,7573293,4597412,34103536,28017132,23433088,15870890,9801165,810,4
25,2010,Brazil,1495404.0,592640.0,0.0,0.0,196353500,0.0076158764676972,0.0,1495404.0,5.04 ,7.52822581815364,99546664,17525176,15392426,13127116,9993500,6188082,96806824,17736140,15090750,12483774,9100718,5377565,35261310,30483178,25610892,19094220,11565649,496,1
26,2015,Brazil,1504231.0,710304.0,15924.0,0.016,205188210,0.0073309816387598,7.760679816837429e-05,1520155.0,9.03 ,-3.54576339269425,104179510,17160594,16829820,13922592,11613012,7650429,101008690,17470884,16638434,13293918,10606568,6513953,34631476,33468252,27216508,22219580,14164385,578,1
27,2020,Brazil,1897128.0,1079708.0,106000.0,0.102,213196300,0.008898503398042,0.0004971943696959,2003128.0,3.21 ,-3.87867633397198,108417016,16896326,17439840,15180944,12726561,9286161,104779280,17279864,17407594,14588106,11673016,7880943,34176188,34847430,29769050,24399580,17167104,1200,9
28,1990,Canada,994254.0,4333318.0,859217.0,6.45,27657206,0.0359491844548578,0.03106665944492,1853471.0,4.78 ,0.2,13946291,2312622,2403086,1812696,1269369,1192150,13710918,2381245,2415306,1839494,1272824,1060422,4693867,4818388,3652191,2542194,2252571,67,2000
29,1995,Canada,1064305.0,4864778.0,690555.0,4.871,29289430,0.0363375115186604,0.0235769354337042,1754860.0,2.15 ,2.7,14793288,2071942,2580152,2185336,1447059,1202573,14496134,2129044,2608917,2176710,1433846,1118031,4200986,5189068,4362048,2880909,2320604,27,1200
30,2000,Canada,1142641.0,5511914.0,783535.0,5.245,30683316,0.0372398146275976,0.0255361904169679,1926176.0,2.72 ,5.17763566824114,15490945,2036481,2452617,2467996,1809961,1234454,15192362,2112247,2491610,2451212,1791157,1165469,4148727,4944228,4919212,3601119,2399925,15,116
