,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host
85,1995,Haiti,661354.0,18129.0,-140001.0,-3.788,7627320,0.0867085686715648,-0.0183552020893315,521353.0,27.61 ,9.89770748815705,3846577,612470,451907,313563,228442,147647,3780749,615749,449368,304119,216520,121879,1228220,901275,617681,444960,269526,1,0
86,2000,Haiti,802218.0,17222.0,-144998.0,-3.578,8360224,0.0959565198253061,-0.0173437936591172,657220.0,9.33 ,0.870059259424892,4210033,692782,495157,361289,244601,165803,4150205,698482,494953,350267,231937,142958,1391264,990108,711554,476541,308759,8,2
87,2005,Haiti,967894.0,16360.0,-139999.0,-3.171,9111901,0.1062230592716053,-0.0153644118828771,827895.0,13.97 ,3.07217337664731,4585534,807496,544998,406327,277080,184336,4526367,812598,546095,397787,258419,162256,1620093,1091094,804114,535500,346591,485,0
88,2010,Haiti,1123190.0,17182.0,-138004.0,-2.883,9842883,0.1141118918105599,-0.0140206888571163,985186.0,4.83 ,-5.65151153448299,4952142,921985,624629,449230,321892,199220,4890740,924751,626164,441343,299761,174323,1846734,1250794,890573,621655,373545,243,0
89,2015,Haiti,1467042.0,18047.0,-150000.0,-2.906,10563762,0.1388749576145316,-0.0141994868873418,1317042.0,6.73 ,2.5625088349003,5317598,998048,734161,496960,363932,228139,5246166,999313,733094,488609,341655,195431,1997360,1467255,985571,705590,423570,78,2
90,2020,Haiti,1769671.0,18884.0,-175000.0,-3.168,11306804,0.1565138123911938,-0.0154774063475408,1594671.0,22.80 ,-3.34337261175989,5701413,1035846,846492,575901,407064,269724,5605398,1035728,839451,564900,382367,229672,2071576,1685942,1140801,789434,499393,7,0
91,1990,Honduras,156379.0,270423.0,-73998.0,-3.205,5053235,0.0309463145885754,-0.0146436886469756,82381.0,23.32 ,2.7917489495977,2500703,405079,272573,159594,109795,76641,2552546,393711,283536,175973,113042,70154,798788,556112,335563,222840,146792,95,3
92,1995,Honduras,246575.0,149442.0,-77999.0,-2.926,5812836,0.0424190532813931,-0.0134184071251967,168576.0,29.46 ,6.18930455759235,2876836,483280,318712,205823,119713,84985,2936001,477888,315161,221924,126834,78264,961172,633875,427748,246548,163249,113,0
93,2000,Honduras,342103.0,28461.0,-64998.0,-2.117,6656727,0.0513920730112561,-0.0097642580204956,277105.0,11.05 ,7.29128815869618,3292272,586102,375144,253284,145515,93398,3364471,597454,362462,261585,156553,88928,1183555,737604,514868,302070,182324,113,0
94,2005,Honduras,448882.0,27934.0,-41999.0,-1.197,7564615,0.0593397020205258,-0.0055520340427106,406883.0,8.81 ,6.05059922215973,3739574,689433,457917,301159,191348,103803,3825047,713482,450928,295690,201866,102358,1402913,908847,596847,393213,206159,107,0
95,2010,Honduras,587503.0,27288.0,-25000.0,-0.634,8450936,0.0695192816511685,-0.0029582521983363,562503.0,4.70 ,3.73114034433009,4176203,775192,566384,360129,238446,128907,4274727,803750,575278,345633,241058,129658,1578944,1141665,705762,479505,258568,103,1
96,2015,Honduras,729855.0,38330.0,-30000.0,-0.688,9294510,0.0785253875674995,-0.0032277118427975,699855.0,3.16 ,3.84007997093951,4595222,861194,672110,443514,285507,171164,4699295,892457,692751,433880,274164,168508,1753650,1364860,877394,559669,339674,402,0
97,2020,Honduras,985077.0,39195.0,-34000.0,-0.715,10121762,0.0973226795887909,-0.0033590989394929,951077.0,3.47 ,-8.96476018404584,5008785,952678,757560,550768,342629,214405,5112978,989496,781671,555175,321079,201341,1942176,1539232,1105942,663708,415744,1900,16
98,1990,Jamaica,588450.0,20475.0,-146934.0,-12.359,2392035,0.2460039255278455,-0.0614263587280286,441516.0,21.96 ,4.2005351147029,1217464,227736,150965,91219,63657,57185,1174573,216832,140666,92849,63006,45618,444566,291633,184070,126665,102803,8,0
99,1995,Jamaica,718362.0,22713.0,-110068.0,-8.888,2509369,0.2862719671758119,-0.0438628196969038,608294.0,19.91 ,2.34995704147829,1271275,229285,179226,104644,70160,54123,1238101,223607,166037,100063,72253,48833,452888,345263,204705,142414,102958,8,0
100,2000,Jamaica,857865.0,24952.0,-93279.0,-7.191,2612203,0.3284067126482896,-0.0357089399254192,764586.0,8.17 ,0.87870354796236,1318807,226805,195033,133421,80606,53561,1293414,228425,182682,122317,80539,50748,455230,377714,255735,161141,104306,18,0
101,2005,Jamaica,905170.0,24284.0,-92045.0,-6.825,2676868,0.338145175630625,-0.0343853339051458,813125.0,15.05 ,0.893797935945003,1350299,239434,198246,161850,93816,59642,1326577,245535,191185,146150,86279,57502,484969,389430,307997,180095,117144,17,0
102,2010,Jamaica,989790.0,23677.0,-87319.0,-6.293,2733904,0.3620427052303226,-0.0319393073055966,902471.0,12.61 ,-1.45714720947502,1378390,256263,197305,178124,121700,69114,1355511,264225,197335,162833,107167,63908,520489,394643,340960,228868,133019,3,0
103,2015,Jamaica,1031596.0,23165.0,-56658.0,-3.975,2794455,0.3691582079511031,-0.0202751520421692,974938.0,3.69 ,0.92148712538031,1406820,265716,214561,183504,149802,81729,1387633,274987,219421,174298,131565,70829,540703,433980,357800,281370,152559,8,0
104,2020,Jamaica,1118931.0,23629.0,-56658.0,-3.873,2820438,0.3967224239639375,-0.0200883692532861,1062273.0,5.23 ,-10.0,1420769,258231,236754,185182,165931,106683,1399672,267424,243074,182873,147847,88826,525656,479828,368053,313779,195510,15,2
105,1990,Mexico,4395355.0,695674.0,-1835537.0,-4.591,81720424,0.0537852691513201,-0.0224611781260459,2559818.0,26.65 ,5.17576838681073,41509564,7535873,5189420,3312686,2278698,1441692,40210860,6981585,4805374,3131217,2134496,1330725,14517457,9994794,6443901,4413194,2772417,56,17
106,1995,Mexico,6949276.0,458549.0,-2018533.0,-4.598,89969570,0.0772402935792624,-0.0224357302141157,4930743.0,35.00 ,-6.29123082110117,45831230,8576501,6216208,4070145,2652440,1733683,44138336,8019580,5691239,3798992,2459859,1579108,16596081,11907446,7869138,5112300,3312790,45,25
107,2000,Mexico,9562878.0,538051.0,-2296470.0,-4.82,97873450,0.0977065588267298,-0.0234636666021275,7266408.0,9.49 ,4.94245371467422,49973390,9215277,7204516,5000293,3118104,2077029,47900060,8504721,6566740,4612214,2884092,1867056,17719996,13771259,9612509,6002194,3944082,13,7
108,2005,Mexico,10817810.0,712648.0,-2206114.0,-4.307,105442400,0.1025944970903545,-0.0209224562415119,8611696.0,3.99 ,2.30780706591736,53823104,9560961,8034402,5964584,3821735,2407629,51619296,8886992,7371186,5470820,3521592,2165864,18447952,15405587,11435403,7343327,4573495,16,5
109,2010,Mexico,12415222.0,969710.0,-562404.0,-1.022,112532400,0.1103257550714283,-0.0049977073269565,11852818.0,4.16 ,5.11811814321163,57445988,9856462,8681865,6862069,4702067,2831918,55086410,9372009,7948753,6301177,4283556,2544882,19228472,16630622,13163247,8985622,5376800,18,1
110,2015,Mexico,11923234.0,1013691.0,-422477.0,-0.716,120149896,0.0992363239332308,-0.0035162494023299,11500757.0,2.72 ,3.29315152833387,61325116,10336876,9200540,7802233,5702556,3537972,58824772,10030711,8493832,7168384,5141745,3168335,20367588,17694376,14970619,10844299,6706310,30,517
111,2020,Mexico,11185737.0,1197624.0,-300000.0,-0.478,125998296,0.0887768910779555,-0.0023809845809343,10885737.0,3.40 ,-7.98791234014749,64410852,10500972,9626057,8525725,6652012,4410859,61587452,10272857,9001309,7847509,5972778,3860154,20773830,18627366,16373234,12624790,8271013,55,2200
112,1990,Nicaragua,441488.0,41421.0,-150030.0,-7.589,4227824,0.104424403664864,-0.0354863400179383,291458.0,7485.49 ,-0.0524997212687737,2140166,355819,231741,137207,94904,67421,2087663,347557,217547,132263,86919,50177,703378,449287,269470,181821,117596,25,0
113,1995,Nicaragua,437711.0,26619.0,-120040.0,-5.441,4721932,0.0926974382519697,-0.0254217976878955,317671.0,10.94 ,5.91190795714505,2389086,422621,264804,171743,103747,73635,2332856,420448,249011,158871,96780,57532,843072,513815,330612,200524,131165,35,4
114,2000,Nicaragua,501517.0,30389.0,-145020.0,-5.967,5123223,0.0978909174947098,-0.0283064000922856,356497.0,7.07 ,4.10159023598223,2594748,481540,307710,206461,123799,82798,2528473,474297,296105,189840,114670,71686,955840,603815,396302,238468,154485,37,0
115,2005,Nicaragua,555532.0,34919.0,-174010.0,-6.624,5454680,0.1018450211561448,-0.0319010464408544,381522.0,9.60 ,4.28239836333562,2767182,521530,359075,238284,156710,93474,2687501,500416,351998,221390,141009,84176,1021946,711073,459674,297718,177651,48,1
116,2010,Nicaragua,610211.0,37345.0,-155010.0,-5.505,5855736,0.1042073959618398,-0.0264714802716515,455201.0,5.46 ,4.40964549908733,2970656,567115,414793,278764,187238,108671,2885080,546698,399972,261782,165721,93982,1113812,814764,540548,352959,202658,51,0
117,2015,Nicaragua,655577.0,40261.0,-135020.0,-4.483,6298610,0.1040828055713879,-0.0214364756668534,520557.0,4.00 ,4.79205676554646,3194992,610096,469889,330309,219155,137155,3103615,604542,441259,313710,194092,114329,1214637,911148,644022,413246,251485,22,0
118,2020,Nicaragua,718154.0,42167.0,-106360.0,-3.311,6755900,0.1063002708743468,-0.0157432762474281,611794.0,3.68 ,-1.7899754441716,3426554,631111,524059,389754,260443,167253,3329347,637873,496062,364440,234062,138568,1268985,1020120,754195,494505,305820,24,6
119,1990,Panama,134392.0,62744.0,-9395.0,-0.801,2449966,0.054854638799069,-0.0038347470944494,124997.0,0.77 ,8.09899300573198,1215412,227745,160351,107638,71704,46450,1234561,231611,161848,108576,72074,45265,459358,322200,216214,143777,91714,3,1
120,1995,Panama,132978.0,70848.0,1954.0,0.15,2716071,0.0489596921435411,0.0007194215467857,134932.0,0.99 ,1.7516787571155,1349969,250880,193221,130106,86269,54704,1366108,255355,193684,130065,85868,52689,506233,386904,260174,172135,107391,3,1
121,2000,Panama,136929.0,83410.0,9797.0,0.679,3001738,0.0456165727988252,0.0032637758525227,146726.0,1.50 ,2.71537415482821,1493627,265103,226704,157987,103949,66173,1508123,270900,226548,156854,102243,63161,535999,453253,314838,206193,129331,1,5
122,2005,Panama,131417.0,109461.0,16119.0,1.014,3305875,0.039752561727228,0.004875864937422,147536.0,2.86 ,7.19127940233535,1646286,281630,252101,191681,126591,80444,1659594,289264,252807,189179,123674,76292,570896,504909,380859,250266,156736,4,9
123,2010,Panama,139844.0,157788.0,22244.0,1.276,3623622,0.0385923255792132,0.0061386093803382,162088.0,3.49 ,5.82799349428571,1806800,301914,268407,225891,154423,97623,1816822,310197,270490,222513,150287,91612,612111,538897,448403,304709,189236,5,9
124,2015,Panama,150210.0,184710.0,28105.0,1.477,3957102,0.0379595977055936,0.0071024199022415,178315.0,0.14 ,5.7330542960121,1975222,316910,286897,252107,187690,119341,1981885,324538,290111,249467,181660,111697,641447,577009,501569,369354,231036,2,7
125,2020,Panama,139520.0,313165.0,56000.0,2.704,4294391,0.0324888907414345,0.0130402657792455,195520.0,-1.55 ,-17.9448935972493,2145533,333514,311046,270055,221887,145872,2148874,341443,314403,269055,214492,136401,674957,625446,539110,436377,282273,3,20
126,1990,Paraguay,297742.0,195884.0,-17340.0,-0.878,4059198,0.0733499573068374,-0.004271779794925,280402.0,37.26 ,4.12328287941739,2006582,353941,239236,156138,102370,77682,2052627,353213,242490,167188,107114,73501,707154,481727,323324,209482,151181,49,4
127,1995,Paraguay,335845.0,186570.0,-31180.0,-1.386,4603924,0.0729475551725006,-0.0067724836465588,304665.0,13.43 ,6.82281030358578,2275738,380453,292184,186195,120367,85541,2328191,389763,286746,195379,129501,79570,770216,578930,381575,249863,165111,75,0
128,2000,Paraguay,374675.0,176608.0,-44090.0,-1.746,5123817,0.073124196277892,-0.0086049130950617,330585.0,8.98 ,-2.31414056819045,2534817,413111,335627,226348,144621,89799,2589012,426778,331812,227100,151654,89074,839888,667437,453446,296277,178872,57,0
129,2005,Paraguay,545698.0,168243.0,-47150.0,-1.692,5476881,0.0996366362533712,-0.0086089144533175,498548.0,6.81 ,2.13349066459601,2714517,464488,348151,270704,169919,105407,2762374,478717,353057,261295,173083,106394,943204,701204,531994,343001,211803,92,1
130,2010,Paraguay,765811.0,160299.0,-117900.0,-3.907,5768618,0.1327546736497372,-0.0204381708062485,647911.0,4.65 ,11.0952312685521,2864218,524597,367205,305191,203106,124623,2904398,539399,375373,296793,196777,122818,1063994,742579,601985,399883,247442,69,1
131,2015,Paraguay,845591.0,156462.0,-87130.0,-2.694,6177954,0.1368723366991725,-0.014103374677118,758461.0,3.13 ,2.95715173487106,3071246,574053,427841,324319,247897,148164,3106704,591126,435664,324603,231473,141967,1165181,863505,648924,479370,290133,19,0
132,2020,Paraguay,896484.0,169567.0,-82780.0,-2.396,6618700,0.1354471421880429,-0.0125069877770559,813704.0,1.77 ,-0.819785390971916,3294713,592993,502421,350751,286161,181127,3323986,612627,511260,353965,269755,164231,1205619,1013679,704717,555918,345360,76,0
133,1990,Peru,313209.0,56688.0,-280600.0,-2.682,22109102,0.0141665183868616,-0.0126916054754281,32609.0,7481.66 ,-4.98256353646605,11080627,1941765,1416536,935304,635970,389747,11028480,1930076,1358115,900980,622442,367490,3871838,2774651,1836283,1258412,757238,183,2
134,1995,Peru,505474.0,56732.0,-354600.0,-3.059,24449060,0.0206745780819385,-0.0145036250882447,150874.0,11.13 ,7.41139504735119,12259703,2188588,1616172,1132278,730564,468927,12189351,2197509,1563943,1073309,699616,439957,4386099,3180115,2205588,1430180,908887,207,3
135,2000,Peru,694144.0,66300.0,-255800.0,-2.016,26654440,0.0260423404130793,-0.0095969001787319,438344.0,3.76 ,2.69437139806912,13364080,2420753,1823021,1329261,864441,561742,13290371,2442201,1795546,1262642,815053,527925,4862954,3618567,2591902,1679492,1089668,48,1
136,2005,Peru,969002.0,77877.0,-909782.0,-6.699,28147260,0.0344261572884891,-0.0323222224827567,59220.0,1.62 ,6.28506032509601,14089682,2513148,1980319,1472868,1028785,646014,14057581,2528472,1992949,1437091,976173,618455,5041621,3973269,2909960,2004959,1264468,63,0
137,2010,Peru,1299095.0,104706.0,-1202758.0,-8.456,29229576,0.0444445379570336,-0.0411486639423028,96337.0,1.53 ,8.33245910749577,14684088,2557922,2095433,1603610,1197708,777501,14545484,2507034,2102053,1605155,1143789,740244,5064962,4197487,3208765,2341499,1517746,66,3
138,2015,Peru,1410199.0,154774.0,-624809.0,-4.201,30711864,0.0459170762152372,-0.0203442226756409,785390.0,3.40 ,3.25224477218451,15496197,2622077,2249974,1809840,1364404,951179,15215664,2508187,2194653,1818920,1312303,886702,5130261,4444629,3628760,2676708,1837880,108,7
139,2020,Peru,1519635.0,1224519.0,495345.0,3.123,33304768,0.04562815150071,0.0148730956480465,2014980.0,2.00 ,-10.9526989325015,16805322,2792184,2542588,2063523,1545668,1119636,16499432,2704199,2437966,2043231,1518076,1031539,5496387,4980555,4106759,3063742,2151177,62,11
140,1990,United States,1726213.0,23251026.0,3366853.0,2.734,248083730,0.0069581870604734,0.0135714381592053,5093066.0,5.40 ,1.88596495668033,126632290,20029392,21157344,15547117,11249607,11012383,121451450,20370768,20954068,14856892,11077886,9783829,40400160,42111410,30404008,22327488,20796212,32,0
141,1995,United States,1827431.0,28451053.0,4463754.0,3.452,265660560,0.0068788193475162,0.0168024715448917,6291185.0,2.81 ,2.68421727207786,135251250,19008198,22440052,19001668,12777888,10650678,130409304,19464990,22351500,18343508,12129011,10074879,38473190,44791550,37345176,24906898,20725560,41,0
142,2000,United States,1979327.0,34814053.0,8859954.0,6.48,282398560,0.0070089840401452,0.0313739347679393,10839281.0,3.38 ,4.07715947941618,143371600,19143548,21793668,21753900,15644131,10792871,139026940,19793258,21750632,21313264,14657363,10062636,38936810,43544296,43067164,30301492,20855506,22,0
143,2005,United States,2296999.0,39258293.0,5334893.0,3.7,296842660,0.007738102737659,0.0179721236833007,7631892.0,3.39 ,3.48322032025258,150619170,20073732,20680232,22880758,19130298,12242687,146223490,20701184,20673440,22315980,18082660,11103246,40774916,41353670,45196736,37212956,23345934,37,0
144,2010,United States,2670652.0,44183643.0,5428756.0,3.595,311182850,0.0085822595943189,0.0174455501002063,8099408.0,1.64 ,2.70885669419681,157909980,21179066,20456948,22253482,21760082,15052931,153272880,21822686,20389146,21730162,20753084,13511440,43001750,40846092,43983650,42513170,28564366,45,2
145,2015,United States,2717761.0,48178877.0,4961716.0,3.151,324607780,0.0083724456635019,0.0152852651898854,7679477.0,0.12 ,2.70636958176399,164114370,22220204,21200366,21129104,22652856,18216040,160493390,23063276,21457960,20998432,21843058,16600491,45283476,42658324,42127540,44495910,34816530,71,9
146,2020,United States,2996223.0,50632836.0,4774029.0,2.929,335942000,0.0089188699239749,0.0142108727101702,7770252.0,1.23 ,-2.76780251140578,169437600,22166892,22536832,20932312,21980208,20504290,166504400,22946608,23044512,20992484,21509260,19077296,45113500,45581348,41924790,43489470,39581588,189,5
147,1990,Uruguay,237486.0,98116.0,-30000.0,-1.96,3117011,0.0761902989755249,-0.0096246051104728,207486.0,112.53 ,0.297348378681562,1595957,231532,206077,177531,168493,146137,1521066,235551,201309,171971,157766,123282,467083,407389,349502,326258,269416,42,0
148,1995,Uruguay,233993.0,93428.0,-20000.0,-1.263,3208305,0.0729335272051753,-0.0062338212856944,213993.0,42.25 ,-1.44759896894408,1648286,236748,220013,185101,165798,153154,1560023,243732,216220,177575,154252,128388,480482,436234,362679,320047,281541,33,0
149,2000,Uruguay,235641.0,88874.0,-26000.0,-1.589,3292227,0.0715749551899064,-0.0078973898215402,209641.0,4.76 ,-1.92993063772035,1697294,250708,222655,198413,167472,152989,1594945,255558,221313,189954,154339,128153,506268,443967,388366,321812,281138,25,5
150,2005,Uruguay,298986.0,82317.0,-104000.0,-6.264,3317666,0.0901193791056724,-0.0313473387616475,194986.0,4.70 ,7.46013213775913,1718045,243138,223055,208802,173929,150769,1599630,243964,222047,200385,159477,126204,487102,445106,409186,333403,276969,22,7
151,2010,Uruguay,338438.0,76303.0,-50000.0,-2.994,3352653,0.1009463251938092,-0.0149135624832036,288438.0,6.70 ,7.80340966564692,1735591,234914,231083,211156,186632,152821,1617053,241400,229301,204915,171974,128082,476316,460386,416070,358607,280904,8,1
152,2015,Uruguay,353225.0,78799.0,-30000.0,-1.772,3402820,0.1038036099470439,-0.0088162171375506,323225.0,8.67 ,0.370741265001499,1759192,244923,227658,213433,199568,160667,1643635,253994,226582,209736,186115,135832,498920,454237,423171,385681,296497,6,3
153,2020,Uruguay,367060.0,108267.0,-15000.0,-0.871,3429087,0.1070430700650056,-0.0043743422082904,352060.0,9.76 ,-6.12147627999001,1768922,250660,225909,224335,203404,172882,1660162,259219,230069,220126,192474,148468,509880,455978,444460,395883,321350,41,15
154,1990,Venezuela,185492.0,1025009.0,920.0,0.01,19750580,0.0093917241924034,4.658091053528555e-05,186412.0,40.66 ,6.5,9850108,1768198,1334953,844775,578185,377774,9900481,1784271,1320867,820934,545023,350426,3552464,2655821,1665708,1123210,728201,45,0
155,1995,Venezuela,241864.0,1019996.0,-2270.0,-0.022,22107288,0.0109404645201166,-0.0001026810706044,239594.0,59.92 ,4.0,11023147,1936201,1565491,1051967,675089,450751,11084148,1954763,1551518,1023958,641331,410189,3890963,3117009,2075924,1316421,860943,34,0
156,2000,Venezuela,317753.0,1013738.0,-4540.0,-0.039,24427732,0.0130078797327561,-0.0001858543396497,313213.0,16.20 ,3.7,12185779,2130889,1746544,1308252,813817,526894,12241956,2155665,1729320,1273572,775566,477521,4286550,3475863,2581826,1589383,1004415,40,0
157,2005,Venezuela,437087.0,1076474.0,-22740.0,-0.18,26668790,0.0163894574894474,-0.0008526821051873,414347.0,15.95 ,10.3,13329256,2330427,1910202,1533247,1012201,620098,13339532,2356096,1886584,1490131,956317,560412,4686523,3796786,3023378,1968517,1180512,57,0
158,2010,Venezuela,560528.0,1347347.0,-200220.0,-1.46,28715026,0.0195203723653253,-0.0069726560581905,360308.0,28.19 ,-1.5,14393136,2485083,2079401,1701580,1255737,748298,14321893,2519434,2049331,1645869,1175493,667958,5004519,4128728,3347448,2431234,1416257,48,1
159,2015,Venezuela,709140.0,1404448.0,-431040.0,-2.946,30529722,0.0232278564475628,-0.0141187004585236,278100.0,121.74 ,-15.7,15341132,2569664,2237328,1844966,1465510,926403,15188597,2633967,2200664,1776072,1366552,807819,5203631,4437990,3621038,2832063,1734223,62,15
160,2020,Venezuela,5415337.0,1324193.0,-3266243.0,-22.327,28490458,0.1900754631603325,-0.1146434009590158,2149094.0,2959.80 ,-19.7,14376694,1949149,1935254,1815767,1547432,1112036,14113768,2076155,1897047,1714696,1414899,938273,4025304,3832298,3530465,2962333,2050311,63,1
